STATE,TOTAL_POPULATION,VEHICLE_2009,VEHICLE_2010,VEHICLE_2011,VEHICLE_2012,VEHICLE_2013,VEHICLE_2014,VEHICLE_2015,IIP_2005,IIP_2006,IIP_2007,IIP_2008,IIP_2009,IIP_2010,IIP_2011,IIP_2012,IIP_2013,IIP_2014,IIP_2015,IIP_2016,IIP_2017,IIP_2018,AFOLU_2005,AFOLU_2006,AFOLU_2007,AFOLU_2008,AFOLU_2009,AFOLU_2010,AFOLU_2011,AFOLU_2012,AFOLU_2013,AFOLU_2014,AFOLU_2015,AFOLU_2016,AFOLU_2017,AFOLU_2018,WASTE_2005,WASTE_2006,WASTE_2007,WASTE_2008,WASTE_2009,WASTE_2010,WASTE_2011,WASTE_2012,WASTE_2013,WASTE_2014,WASTE_2015,WASTE_2016,WASTE_2017,WASTE_2018,NSDP_2024_25,NSDP_2023_24
JHARKHAND,32966238,272009,314464,366674,424644,493412,555461,637626,728.6204737,33362.45934,22124.41199,3927.982265,199.3287508,840.5756115,8116.808614,3382.711483,271.0680194,50.97804428,62.57039369,968.352436,317.5259827,0,-620525.8546,-620525.8546,-620525.8546,-620525.8546,-620525.8546,-620525.8546,-620525.8546,-778935.7155,-778935.7155,-778935.7155,-778935.7155,-778935.7155,-778935.7155,-778935.7155,131396.3783,134810.6316,138224.8848,141639.1381,130159.9688,133191.4208,152409.0385,156696.3936,160983.7486,165271.1037,169558.4587,173831.4038,178182.9732,182567.1236,279849.1875,290297.0385
KARNATAKA,61130704,1603728,1790259,2027080,2307841,2592565,2834847,3113773,18861.89743,7984.291806,16967.72365,68513.74859,48990.73348,146149.7187,361019.4472,105133.0268,56855.89917,39075.64715,7329.95166,1024.60459,4394.695056,1374.092585,-2237329.766,-2237329.766,-2237329.766,-2237329.766,-2237329.766,-2237329.766,-2237329.766,-2012734.885,-2012734.885,-2012734.885,-2012734.885,-2012734.885,-2012734.885,-2012734.885,315421.271,322684.2584,329947.2458,333597.6714,348595.4498,356003.694,439216.3665,449977.8841,460739.4017,471500.9193,482262.4368,497526.2585,508448.6126,519419.1565,421858,376402
KERALA,33387677,12077,15113,17019,17299,24417,24523,27523,60.82801902,5.472739024,9.346442936,6.230961957,1.03849366,0,0,0,0.079007338,0.026335779,1.157874998,0.385958333,455.5974454,151.8658151,-355986.477,-355986.477,-355986.477,-355986.477,-355986.477,-355986.477,-355986.477,-168856.2975,-168856.2975,-168856.2975,-168856.2975,-168856.2975,-168856.2975,-168856.2975,234460.2756,243145.3525,251830.4294,260515.5063,269874.2016,278595.1454,390056.2686,407620.961,425185.6534,442750.3458,460315.0382,477980.8704,495556.2623,513136.7738,279849.1875,316015
MADHYA PRADESH,72597565,32995,37981,43901,49728,56209,62545,68236,31.56337511,37.97196603,26.30798412,12.48185922,3.972496367,0.530069396,0,0,352.424675,201.1816932,27.90226718,70.1571055,23.38570183,0,-3106920.175,-3106920.175,-3106920.175,-3106920.175,-3106920.175,-3106920.175,-3106920.175,-3209799.686,-3209799.686,-3209799.686,-3209799.686,-3209799.686,-3209799.686,-3209799.686,331333.5077,338427.0789,345520.6501,347303.595,348360.1752,355232.5218,431842.5431,441844.3959,451846.2487,461848.1015,471849.9543,483814.7415,494021.983,504314.5814,170430,155289
MAHARASHTRA,112372972,9326,10382,11583,13839,15561,17136,19276,4233.536664,6461.752901,3570.546898,778.0229602,222.3210815,1705.656705,2089.116879,5309.193949,7942.154174,7843.130982,71146.7658,29020.59762,19296.81591,5772.101749,-3445610.439,-3445610.439,-3445610.439,-3445610.439,-3445610.439,-3445610.439,-3445610.439,-3443376.22,-3443376.22,-3443376.22,-3443376.22,-3443376.22,-3443376.22,-3443376.22,898780.2157,915171.4077,931562.5998,942585.9435,992277.0799,1009254.663,1053118.288,1074194.756,1095271.223,1116347.691,1137424.159,1163052.798,1184452.583,1205981.272,354225,319474
MANIPUR,2721756,45549,47984,50249,53074,55749,59301,62346,0,0,0,0,1.392032258,23.42902874,483.0722908,1198.833442,773.5299574,4731.547488,3710.543283,726.925557,0,0,-30797.21095,-30797.21095,-30797.21095,-30797.21095,-30797.21095,-30797.21095,-30797.21095,-152647.2663,-152647.2663,-152647.2663,-152647.2663,-152647.2663,-152647.2663,-152647.2663,11227.03112,11533.01805,11839.00498,12144.9919,11565.20976,11841.97135,17495.72967,17946.24501,18396.76036,18847.2757,19297.79104,19749.78596,20203.26045,20658.21452,279849.1875,144255
MEGHALAYA,2964007,112490,133529,161024,186323,214047,241113,272976,2649.08138,4321.780364,5328.990413,4803.317483,2024.617139,1335.151854,5938.769431,20466.53497,25517.37665,8196.181785,1811.825759,2337.010633,12683.7986,4013.673836,-31133.15897,-31133.15897,-31133.15897,-31133.15897,-31133.15897,-31133.15897,-31133.15897,-145266.0127,-145266.0127,-145266.0127,-145266.0127,-145266.0127,-145266.0127,-145266.0127,10680.13481,10960.89287,11241.65092,11522.40898,10959.51922,11219.25399,15060.52049,15498.36564,15936.21079,16374.05593,16811.90108,17257.34602,17710.39076,18171.0353,172927,156326
MIZORAM,1091014,444465,484064,484064,616549,616549,616549,616549,9818.374599,11212.08137,7116.171132,4896.372853,3438.177132,21981.09642,36417.00326,30595.78225,54432.75945,38201.42591,17012.15481,10244.46424,12217.07713,3287.992625,-5526.690927,-5526.690927,-5526.690927,-5526.690927,-5526.690927,-5526.690927,-5526.690927,-125457.3521,-125457.3521,-125457.3521,-125457.3521,-125457.3521,-125457.3521,-125457.3521,11263.3486,11536.57232,11809.79604,12083.01976,11192.47925,11437.81173,16008.42915,16421.70389,16834.97862,17248.25336,17661.5281,18080.28715,18504.53049,18934.25815,279849.1875,275639
NAGALAND,1980602,402239,455924,520385,591069,659542,733916,814079,9818.374599,11212.08137,7116.171132,4896.372853,3438.177132,21981.09642,36417.00326,30595.78225,54432.75945,38201.42591,17012.15481,10244.46424,12217.07713,3287.992625,-13507.8825,-13507.8825,-13507.8825,-13507.8825,-13507.8825,-13507.8825,-13507.8825,-136701.4359,-136701.4359,-136701.4359,-136701.4359,-136701.4359,-136701.4359,-136701.4359,8915.07778,9228.879562,9542.681344,9856.483126,8676.29583,8925.205677,15945.90362,16345.51998,16745.13633,17144.75269,17544.36904,17943.98871,18343.61169,18743.23797,279849.1875,179378
ODISHA,38844616,5704,8905,12264,13933,11879,12594,14300,7908.340743,11325.35984,12994.74899,7324.089425,5169.491381,55632.58737,88609.64044,163051.1831,849350.8427,343120.3415,56831.11551,58848.25795,63811.44246,15904.42641,-1305577.793,-1305577.793,-1305577.793,-1305577.793,-1305577.793,-1305577.793,-1305577.793,-1417340.818,-1417340.818,-1417340.818,-1417340.818,-1417340.818,-1417340.818,-1417340.818,123468.8737,125806.566,128144.2584,130104.2661,132499.8661,134834.119,154655.9471,157746.6323,160837.3175,163928.0027,167018.6879,170451.2809,173579.2787,176723.7977,203085,185733
